S,E,I,R,p,I_new_nn,I_cum_nn,I_new_real,I_cum_real,f
0.982558,0.000002,0.000002,0.017438,0.090781,54.572119,54.572119,1.000000,6.428571,0.047515
0.982559,0.000002,0.000002,0.017438,0.094703,49.914520,104.486639,0.571429,7.000000,0.056371
0.982558,0.000002,0.000002,0.017438,0.100447,46.626583,151.113222,0.142857,7.142857,0.074088
0.982558,0.000001,0.000002,0.017439,0.108091,44.355867,195.469089,0.285714,7.428571,0.089511
0.982558,0.000001,0.000002,0.017439,0.117706,42.873865,238.342954,0.428571,7.857143,0.102078
0.982558,0.000001,0.000002,0.017439,0.129293,42.013193,280.356147,1.428571,9.285714,0.111262
0.982558,0.000001,0.000002,0.017439,0.142757,41.636552,321.992699,1.428571,10.714286,0.116880
0.982557,0.000001,0.000002,0.017440,0.157900,41.626876,363.619575,2.428571,13.142857,0.119265
0.982557,0.000001,0.000002,0.017440,0.174474,41.888547,405.508122,2.428571,15.571429,0.119201
0.982557,0.000001,0.000002,0.017440,0.192238,42.350619,447.858741,3.571429,19.142857,0.117680
0.982557,0.000002,0.000002,0.017440,0.211021,42.966849,490.825590,4.285714,23.428571,0.115631
0.982556,0.000002,0.000002,0.017441,0.230741,43.711989,534.537579,4.142857,27.571429,0.113745
0.982556,0.000002,0.000002,0.017441,0.251400,44.576274,579.113853,3.857143,31.428571,0.112416
0.982555,0.000002,0.000002,0.017441,0.273054,45.560155,624.674007,4.428571,35.857143,0.111768
0.982555,0.000002,0.000002,0.017441,0.295771,46.670341,671.344348,3.428571,39.285714,0.111727
0.982555,0.000002,0.000002,0.017442,0.319597,47.917293,719.261641,3.428571,42.714286,0.112091
0.982554,0.000002,0.000002,0.017442,0.344521,49.313878,768.575519,2.285714,45.000000,0.112605
0.982554,0.000002,0.000002,0.017442,0.370456,50.874802,819.450322,1.714286,46.714286,0.113004
0.982553,0.000002,0.000002,0.017443,0.397231,52.616492,872.066813,2.142857,48.857143,0.113051
0.982553,0.000002,0.000002,0.017443,0.424593,54.557203,926.624016,1.714286,50.571429,0.112551
0.982552,0.000002,0.000002,0.017443,0.452226,56.717198,983.341215,1.857143,52.428571,0.111362
0.982552,0.000002,0.000002,0.017444,0.479766,59.118949,1042.460163,3.142857,55.571429,0.109390
0.982551,0.000002,0.000002,0.017444,0.506832,61.787341,1104.247504,5.714286,61.285714,0.106586
0.982551,0.000003,0.000002,0.017444,0.533049,64.749918,1168.997422,10.571429,71.857143,0.102939
0.982550,0.000003,0.000002,0.017445,0.558076,68.037202,1237.034624,16.142857,88.000000,0.098471
0.982549,0.000003,0.000003,0.017445,0.581620,71.683112,1308.717736,23.428571,111.428571,0.093230
0.982548,0.000003,0.000003,0.017446,0.603449,75.725469,1384.443206,39.142857,150.571429,0.087289
0.982547,0.000003,0.000003,0.017446,0.623397,80.206740,1464.649946,51.857143,202.428571,0.080740
0.982546,0.000004,0.000003,0.017447,0.641360,85.174736,1549.824682,58.857143,261.285714,0.073685
0.982545,0.000004,0.000003,0.017448,0.657294,90.683224,1640.507906,76.142857,337.428571,0.066238
0.982544,0.000004,0.000004,0.017448,0.671202,96.792769,1737.300675,97.142857,434.571429,0.058517
0.982543,0.000005,0.000004,0.017449,0.683122,103.571309,1840.871984,121.142857,555.714286,0.050636
0.982541,0.000005,0.000004,0.017450,0.693124,111.094642,1951.966625,144.714286,700.428571,0.042706
0.982540,0.000005,0.000004,0.017450,0.701290,119.446570,2071.413196,177.428571,877.857143,0.034827
0.982538,0.000006,0.000005,0.017451,0.707715,128.719225,2200.132420,202.000000,1079.857143,0.027088
0.982537,0.000006,0.000005,0.017452,0.712496,139.012469,2339.144889,237.428571,1317.285714,0.019565
0.982535,0.000007,0.000005,0.017453,0.715730,150.433955,2489.578844,262.142857,1579.428571,0.012320
0.982533,0.000008,0.000006,0.017454,0.717509,163.097720,2652.676564,306.428571,1885.857143,0.005400
0.982530,0.000008,0.000006,0.017455,0.717919,177.124162,2829.800726,338.571429,2224.428571,-0.001161
0.982528,0.000009,0.000007,0.017456,0.717039,192.638348,3022.439074,363.000000,2587.428571,-0.007340
0.982525,0.000010,0.000008,0.017457,0.714941,209.768905,3232.207979,373.428571,2960.857143,-0.013125
0.982522,0.000011,0.000008,0.017459,0.711689,228.645621,3460.853600,407.285714,3368.142857,-0.018514
0.982519,0.000012,0.000009,0.017460,0.707343,249.399788,3710.253388,407.714286,3775.857143,-0.023511
0.982515,0.000013,0.000010,0.017462,0.701955,272.160099,3982.413487,422.857143,4198.714286,-0.028124
0.982511,0.000014,0.000011,0.017464,0.695575,297.052800,4279.466287,423.571429,4622.285714,-0.032367
0.982507,0.000015,0.000012,0.017466,0.688248,324.198187,4603.664474,440.000000,5062.285714,-0.036253
0.982503,0.000017,0.000013,0.017468,0.680018,353.709482,4957.373956,475.857143,5538.142857,-0.039800
0.982498,0.000018,0.000014,0.017470,0.670928,385.692069,5343.066025,497.285714,6035.428571,-0.043022
0.982492,0.000020,0.000015,0.017472,0.661021,420.240529,5763.306554,507.000000,6542.428571,-0.045935
0.982487,0.000021,0.000017,0.017475,0.650342,457.435592,6220.742146,541.714286,7084.142857,-0.048550
0.982481,0.000023,0.000018,0.017478,0.638940,497.344415,6718.086560,577.000000,7661.142857,-0.050880
0.982474,0.000025,0.000020,0.017481,0.626867,540.018022,7258.104582,604.285714,8265.428571,-0.052936
0.982467,0.000027,0.000021,0.017484,0.614176,585.488572,7843.593154,638.142857,8903.571429,-0.054726
0.982460,0.000029,0.000023,0.017488,0.600930,633.769036,8477.362190,659.428571,9563.000000,-0.056258
0.982452,0.000031,0.000025,0.017492,0.587194,684.850070,9162.212259,679.714286,10242.714286,-0.057538
0.982444,0.000033,0.000027,0.017496,0.573036,738.699042,9900.911301,699.428571,10942.142857,-0.058574
0.982435,0.000035,0.000029,0.017501,0.558531,795.259097,10696.170398,711.428571,11653.571429,-0.059373
0.982425,0.000037,0.000031,0.017506,0.543757,854.446373,11550.616771,743.142857,12396.714286,-0.059940
0.982415,0.000040,0.000033,0.017512,0.528791,916.150928,12466.767700,792.571429,13189.285714,-0.060285
0.982405,0.000042,0.000036,0.017518,0.513714,980.238918,13447.006618,818.714286,14008.000000,-0.060416
0.982394,0.000044,0.000038,0.017524,0.498606,1046.548013,14493.554631,871.857143,14879.857143,-0.060344
0.982382,0.000047,0.000041,0.017530,0.483543,1114.893139,15608.447770,919.714286,15799.571429,-0.060078
0.982370,0.000049,0.000043,0.017538,0.468599,1185.064639,16793.512408,990.142857,16789.714286,-0.059632
0.982358,0.000051,0.000046,0.017545,0.453844,1256.835202,18050.347610,1032.142857,17821.857143,-0.059018
0.982345,0.000054,0.000048,0.017553,0.439342,1329.957230,19380.304840,1087.285714,18909.142857,-0.058250
0.982332,0.000056,0.000051,0.017561,0.425148,1404.167174,20784.472014,1168.428571,20077.571429,-0.057342
0.982318,0.000058,0.000054,0.017570,0.411313,1479.194145,22263.666159,1208.714286,21286.285714,-0.056309
0.982304,0.000061,0.000057,0.017579,0.397879,1554.755948,23818.422108,1273.714286,22560.000000,-0.055164
0.982289,0.000063,0.000059,0.017589,0.384882,1630.564624,25448.986732,1378.285714,23938.285714,-0.053925
0.982274,0.000065,0.000062,0.017599,0.372346,1706.336224,27155.322955,1448.571429,25386.857143,-0.052604
0.982259,0.000067,0.000065,0.017609,0.360294,1781.784882,28937.107837,1583.285714,26970.142857,-0.051216
0.982243,0.000069,0.000068,0.017620,0.348737,1856.639831,30793.747667,1620.285714,28590.428571,-0.049777
0.982227,0.000071,0.000070,0.017631,0.337684,1930.636373,32724.384041,1673.571429,30264.000000,-0.048295
0.982211,0.000073,0.000073,0.017643,0.327135,2003.525006,34727.909047,1661.428571,31925.428571,-0.046784
0.982194,0.000075,0.000076,0.017655,0.317087,2075.069287,36802.978335,1650.571429,33576.000000,-0.045253
0.982177,0.000077,0.000078,0.017668,0.307536,2145.045122,38948.023457,1687.142857,35263.142857,-0.043711
0.982160,0.000079,0.000081,0.017681,0.298470,2213.243134,41161.266591,1805.571429,37068.714286,-0.042171
0.982142,0.000080,0.000083,0.017695,0.289876,2279.483815,43440.750406,1790.000000,38858.714286,-0.040638
0.982124,0.000082,0.000085,0.017709,0.281740,2343.600053,45784.350458,1934.714286,40793.428571,-0.039119
0.982106,0.000083,0.000088,0.017723,0.274043,2405.446181,48189.796639,1992.714286,42786.142857,-0.037619
0.982088,0.000085,0.000090,0.017738,0.266771,2464.893573,50654.690212,2242.000000,45028.142857,-0.036144
0.982069,0.000086,0.000092,0.017753,0.259904,2521.833946,53176.524159,2406.857143,47435.000000,-0.034703
0.982051,0.000087,0.000094,0.017768,0.253421,2576.193082,55752.717241,2463.142857,49898.142857,-0.033294
0.982032,0.000088,0.000096,0.017784,0.247305,2627.913110,58380.630351,2506.714286,52404.857143,-0.031919
0.982013,0.000089,0.000097,0.017800,0.241538,2676.945148,61057.575499,2631.142857,55036.000000,-0.030582
0.981994,0.000090,0.000099,0.017816,0.236100,2723.258538,63780.834037,2659.428571,57695.428571,-0.029286
0.981975,0.000091,0.000101,0.017833,0.230974,2766.844752,66547.678789,2710.000000,60405.428571,-0.028029
0.981956,0.000092,0.000102,0.017850,0.226143,2807.703483,69355.382271,2747.142857,63152.571429,-0.026814
0.981937,0.000093,0.000104,0.017867,0.221589,2845.848438,72201.230710,2817.857143,65970.428571,-0.025640
0.981917,0.000093,0.000105,0.017885,0.217297,2881.301805,75082.532514,2927.000000,68897.428571,-0.024509
0.981898,0.000094,0.000106,0.017902,0.213252,2914.097604,77996.630118,3018.857143,71916.285714,-0.023420
0.981878,0.000094,0.000107,0.017920,0.209439,2944.284565,80940.914683,3050.428571,74966.714286,-0.022372
0.981859,0.000095,0.000108,0.017938,0.205844,2971.920893,83912.835576,3107.285714,78074.000000,-0.021364
0.981839,0.000095,0.000109,0.017956,0.202454,2997.065810,86909.901386,3159.285714,81233.285714,-0.020396
0.981820,0.000096,0.000110,0.017974,0.199257,3019.785911,89929.687297,3258.000000,84491.285714,-0.019466
0.981801,0.000096,0.000111,0.017993,0.196242,3040.149040,92969.836337,3374.857143,87866.142857,-0.018576
0.981781,0.000096,0.000111,0.018011,0.193398,3058.230371,96028.066708,3462.857143,91329.000000,-0.017723
0.981762,0.000096,0.000112,0.018030,0.190713,3074.113842,99102.180550,3430.285714,94759.285714,-0.016905
0.981743,0.000096,0.000112,0.018049,0.188179,3087.890944,102190.071494,3485.142857,98244.428571,-0.016121
0.981723,0.000096,0.000113,0.018068,0.185787,3099.637178,105289.708672,3540.857143,101785.285714,-0.015372
0.981704,0.000096,0.000113,0.018087,0.183529,3109.437085,108399.145757,3595.285714,105380.571429,-0.014655
0.981685,0.000096,0.000113,0.018105,0.181395,3117.377052,111516.522809,3531.000000,108911.571429,-0.013970
0.981666,0.000096,0.000114,0.018124,0.179380,3123.553469,114640.076279,3453.000000,112364.571429,-0.013314
0.981647,0.000096,0.000114,0.018143,0.177476,3128.051273,117768.127552,3473.428571,115838.000000,-0.012686
0.981628,0.000096,0.000114,0.018163,0.175676,3130.943970,120899.071522,3562.714286,119400.714286,-0.012087
0.981609,0.000096,0.000114,0.018182,0.173975,3132.307489,124031.379011,3600.428571,123001.142857,-0.011515
0.981590,0.000095,0.000114,0.018201,0.172367,3132.227773,127163.606783,3640.142857,126641.285714,-0.010967
0.981571,0.000095,0.000114,0.018220,0.170846,3130.783569,130294.390352,3716.428571,130357.714286,-0.010445
0.981553,0.000095,0.000114,0.018239,0.169407,3128.048472,133422.438824,3755.000000,134112.714286,-0.009946
0.981534,0.000094,0.000114,0.018258,0.168047,3124.101218,136546.540043,3799.714286,137912.428571,-0.009469
0.981516,0.000094,0.000114,0.018277,0.166760,3119.013909,139665.553952,3810.142857,141722.571429,-0.009015
0.981497,0.000094,0.000113,0.018296,0.165542,3112.860269,142778.414221,3702.428571,145425.000000,-0.008581
0.981479,0.000093,0.000113,0.018314,0.164389,3105.719779,145884.134000,3671.571429,149096.571429,-0.008166
0.981461,0.000093,0.000113,0.018333,0.163298,3097.649700,148981.783699,3518.571429,152615.142857,-0.007771
0.981443,0.000093,0.000112,0.018352,0.162265,3088.724738,152070.508438,3402.428571,156017.571429,-0.007394
0.981425,0.000092,0.000112,0.018371,0.161288,3079.001060,155149.509498,3308.857143,159326.428571,-0.007034
0.981407,0.000092,0.000112,0.018390,0.160363,3068.533861,158218.043359,3268.000000,162594.428571,-0.006690
0.981389,0.000091,0.000111,0.018408,0.159486,3057.372609,161275.415969,3173.857143,165768.285714,-0.006362
0.981371,0.000091,0.000111,0.018427,0.158657,3045.575150,164320.991119,3150.285714,168918.571429,-0.006049
0.981354,0.000090,0.000110,0.018445,0.157871,3033.184214,167354.175333,3064.285714,171982.857143,-0.005751
0.981336,0.000090,0.000110,0.018464,0.157128,3020.253715,170374.429048,3054.000000,175036.857143,-0.005466
0.981319,0.000089,0.000109,0.018482,0.156424,3006.821432,173381.250479,3039.428571,178076.285714,-0.005194
0.981302,0.000089,0.000109,0.018501,0.155757,2992.930900,176374.181380,3058.857143,181135.142857,-0.004935
0.981285,0.000088,0.000108,0.018519,0.155126,2978.619562,179352.800941,3065.142857,184200.285714,-0.004688
0.981267,0.000088,0.000108,0.018537,0.154528,2963.926803,182316.727745,2975.571429,187175.857143,-0.004452
0.981251,0.000087,0.000107,0.018555,0.153962,2948.898633,185265.626378,2987.714286,190163.571429,-0.004227
0.981234,0.000087,0.000107,0.018573,0.153427,2933.559852,188199.186230,2991.000000,193154.571429,-0.004013
0.981217,0.000086,0.000106,0.018591,0.152920,2917.943678,191117.129907,2961.428571,196116.000000,-0.003809
0.981200,0.000086,0.000106,0.018608,0.152440,2902.083826,194019.213733,2937.000000,199053.000000,-0.003614
0.981184,0.000085,0.000105,0.018626,0.151986,2886.008713,196905.222447,2921.857143,201974.857143,-0.003429
0.981167,0.000085,0.000104,0.018644,0.151556,2869.744039,199774.966486,2809.142857,204784.000000,-0.003252
0.981151,0.000084,0.000104,0.018661,0.151150,2853.324722,202628.291208,2826.714286,207610.714286,-0.003084
0.981135,0.000083,0.000103,0.018679,0.150765,2836.762507,205465.053716,2757.285714,210368.000000,-0.002923
0.981119,0.000083,0.000103,0.018696,0.150401,2820.087722,208285.141437,2730.285714,213098.285714,-0.002771
0.981103,0.000082,0.000102,0.018713,0.150057,2803.317612,211088.459049,2704.000000,215802.285714,-0.002625
0.981087,0.000082,0.000101,0.018730,0.149731,2786.471778,213874.930827,2681.714286,218484.000000,-0.002486
0.981071,0.000081,0.000101,0.018747,0.149424,2769.568289,216644.499116,2667.857143,221151.857143,-0.002354
0.981055,0.000081,0.000100,0.018764,0.149133,2752.623908,219397.123025,2705.714286,223857.571429,-0.002229
0.981039,0.000080,0.000100,0.018781,0.148858,2735.650024,222132.773048,2682.714286,226540.285714,-0.002109
0.981024,0.000080,0.000099,0.018797,0.148599,2718.666935,224851.439983,2714.714286,229255.000000,-0.001995
0.981008,0.000079,0.000098,0.018814,0.148353,2701.683590,227553.123573,2668.857143,231923.857143,-0.001887
0.980993,0.000079,0.000098,0.018830,0.148122,2684.718177,230237.841750,2470.428571,234394.285714,-0.001784
0.980978,0.000078,0.000097,0.018847,0.147903,2667.794392,232905.636142,2268.142857,236662.428571,-0.001687
0.980963,0.000078,0.000096,0.018863,0.147697,2650.923390,235556.559532,2119.285714,238781.714286,-0.001594
0.980948,0.000077,0.000096,0.018879,0.147502,2634.111389,238190.670921,2068.571429,240850.285714,-0.001506
0.980933,0.000077,0.000095,0.018895,0.147318,2617.360620,240808.031541,2108.857143,242959.142857,-0.001422
0.980918,0.000076,0.000095,0.018911,0.147144,2600.672750,243408.704290,2120.142857,245079.285714,-0.001342
0.980903,0.000076,0.000094,0.018927,0.146981,2584.058297,245992.762587,2179.000000,247258.285714,-0.001266
0.980889,0.000075,0.000093,0.018943,0.146827,2567.522172,248560.284759,2407.714286,249666.000000,-0.001194
0.980874,0.000075,0.000093,0.018958,0.146682,2551.059104,251111.343863,2629.285714,252295.285714,-0.001125
0.980860,0.000074,0.000092,0.018974,0.146545,2534.675946,253646.019810,2783.285714,255078.571429,-0.001060
0.980845,0.000074,0.000092,0.018989,0.146417,2518.382958,256164.402768,2832.000000,257910.571429,-0.000998
0.980831,0.000073,0.000091,0.019005,0.146296,2502.192261,258666.595029,2780.571429,260691.142857,-0.000940
0.980817,0.000073,0.000090,0.019020,0.146182,2486.115514,261152.710544,2768.428571,263459.571429,-0.000885
0.980803,0.000072,0.000090,0.019035,0.146075,2470.154164,263622.864708,2773.142857,266232.714286,-0.000832
0.980789,0.000072,0.000089,0.019050,0.145974,2454.310392,266077.175100,2707.000000,268939.714286,-0.000783
0.980775,0.000071,0.000089,0.019065,0.145880,2438.592193,268515.767293,2662.428571,271602.142857,-0.000737
0.980761,0.000071,0.000088,0.019080,0.145791,2423.001283,270938.768576,2691.571429,274293.714286,-0.000693
0.980748,0.000070,0.000088,0.019094,0.145707,2407.535144,273346.303720,2656.142857,276949.857143,-0.000651
0.980734,0.000070,0.000087,0.019109,0.145629,2392.200414,275738.504134,2692.000000,279641.857143,-0.000612
0.980721,0.000069,0.000087,0.019123,0.145555,2376.994141,278115.498276,2639.857143,282281.714286,-0.000574
0.980707,0.000069,0.000086,0.019138,0.145486,2361.923353,280477.421629,2585.714286,284867.428571,-0.000540
0.980694,0.000069,0.000085,0.019152,0.145421,2346.989606,282824.411235,2578.428571,287445.857143,-0.000507
0.980681,0.000068,0.000085,0.019166,0.145360,2332.191083,285156.602317,2562.714286,290008.571429,-0.000476
0.980668,0.000068,0.000084,0.019180,0.145303,2317.528805,287474.131123,2469.142857,292477.714286,-0.000447
0.980654,0.000067,0.000084,0.019194,0.145249,2303.008102,289777.139224,2436.571429,294914.285714,-0.000419
0.980641,0.000067,0.000083,0.019208,0.145199,2288.625656,292065.764880,2374.857143,297289.142857,-0.000394
0.980629,0.000066,0.000083,0.019222,0.145151,2274.383419,294340.148299,2347.714286,299636.857143,-0.000370
0.980616,0.000066,0.000082,0.019236,0.145107,2260.279473,296600.427772,2328.571429,301965.428571,-0.000347
0.980603,0.000066,0.000082,0.019250,0.145065,2246.313280,298846.741052,2317.714286,304283.142857,-0.000326
0.980590,0.000065,0.000081,0.019263,0.145026,2232.484010,301079.225062,2273.285714,306556.428571,-0.000306
0.980578,0.000065,0.000081,0.019277,0.144989,2218.792906,303298.017967,2188.285714,308744.714286,-0.000288
0.980565,0.000064,0.000080,0.019290,0.144955,2205.241808,305503.259775,2197.285714,310942.000000,-0.000271
0.980553,0.000064,0.000080,0.019303,0.144922,2191.824945,307695.084720,2157.571429,313099.571429,-0.000255
0.980540,0.000064,0.000079,0.019317,0.144891,2178.544072,309873.628793,2117.285714,315216.857143,-0.000241
0.980528,0.000063,0.000079,0.019330,0.144862,2165.398354,312039.027147,2091.428571,317308.285714,-0.000227
0.980516,0.000063,0.000078,0.019343,0.144835,2152.386026,314191.413173,2047.857143,319356.142857,-0.000214
0.980504,0.000062,0.000078,0.019356,0.144809,2139.507022,316330.920195,2051.857143,321408.000000,-0.000203
0.980492,0.000062,0.000077,0.019369,0.144785,2126.757852,318457.678047,2043.571429,323451.571429,-0.000192
0.980480,0.000062,0.000077,0.019381,0.144762,2114.137672,320571.815719,1935.714286,325387.285714,-0.000183
0.980468,0.000061,0.000076,0.019394,0.144740,2101.650068,322673.465787,1897.714286,327285.000000,-0.000174
0.980456,0.000061,0.000076,0.019407,0.144719,2089.290387,324762.756174,1878.142857,329163.142857,-0.000166
0.980444,0.000061,0.000076,0.019419,0.144699,2077.056192,326839.812366,1782.714286,330945.857143,-0.000159
0.980433,0.000060,0.000075,0.019432,0.144679,2064.949641,328904.762007,1766.142857,332712.000000,-0.000152
0.980421,0.000060,0.000075,0.019444,0.144661,2052.965548,330957.727555,1710.428571,334422.428571,-0.000147
0.980410,0.000060,0.000074,0.019457,0.144643,2041.104178,332998.831733,1686.428571,336108.857143,-0.000142
0.980398,0.000059,0.000074,0.019469,0.144626,2029.362531,335028.194265,1656.142857,337765.000000,-0.000137
0.980387,0.000059,0.000073,0.019481,0.144609,2017.739252,337045.933516,1613.428571,339378.428571,-0.000133
0.980375,0.000059,0.000073,0.019493,0.144593,2006.233236,339052.166752,1577.571429,340956.000000,-0.000130
0.980364,0.000058,0.000073,0.019505,0.144577,1994.842649,341047.009401,1618.285714,342574.285714,-0.000127
0.980353,0.000058,0.000072,0.019517,0.144561,1983.562595,343030.571997,1628.000000,344202.285714,-0.000125
0.980342,0.000058,0.000072,0.019529,0.144546,1972.392672,345002.964669,1612.714286,345815.000000,-0.000123
0.980330,0.000057,0.000071,0.019541,0.144531,1961.332187,346964.296856,1588.857143,347403.857143,-0.000122
0.980319,0.000057,0.000071,0.019553,0.144516,1950.379795,348914.676651,1596.142857,349000.000000,-0.000121
0.980308,0.000057,0.000071,0.019564,0.144501,1939.532502,350854.209153,1588.571429,350588.571429,-0.000121
0.980298,0.000056,0.000070,0.019576,0.144486,1928.789131,352782.998284,1566.000000,352154.571429,-0.000121
0.980287,0.000056,0.000070,0.019587,0.144471,1918.148439,354701.146723,1500.142857,353654.714286,-0.000121
0.980276,0.000056,0.000069,0.019599,0.144456,1907.610301,356608.757024,1461.714286,355116.428571,-0.000122
0.980265,0.000055,0.000069,0.019610,0.144441,1897.171848,358505.928872,1419.142857,356535.571429,-0.000123
0.980254,0.000055,0.000069,0.019622,0.144425,1886.831449,360392.760321,1409.285714,357944.857143,-0.000125
0.980244,0.000055,0.000068,0.019633,0.144410,1876.586067,362269.346388,1376.428571,359321.285714,-0.000127
0.980233,0.000055,0.000068,0.019644,0.144394,1866.434762,364135.781151,1371.857143,360693.142857,-0.000129
0.980223,0.000054,0.000068,0.019655,0.144378,1856.374716,365992.155867,1373.714286,362066.857143,-0.000131
0.980212,0.000054,0.000067,0.019667,0.144362,1846.403919,367838.559786,1384.571429,363451.428571,-0.000133
0.980202,0.000054,0.000067,0.019678,0.144345,1836.520251,369675.080036,1363.142857,364814.571429,-0.000136
0.980192,0.000053,0.000066,0.019689,0.144328,1826.723057,371501.803093,1368.142857,366182.714286,-0.000139
0.980181,0.000053,0.000066,0.019700,0.144311,1817.009631,373318.812724,1369.714286,367552.428571,-0.000142
0.980171,0.000053,0.000066,0.019710,0.144293,1807.378312,375126.191036,1381.714286,368934.142857,-0.000145
0.980161,0.000053,0.000065,0.019721,0.144275,1797.826961,376924.017997,1372.142857,370306.285714,-0.000149
0.980151,0.000052,0.000065,0.019732,0.144257,1788.354507,378712.372505,1355.285714,371661.571429,-0.000152
0.980141,0.000052,0.000065,0.019743,0.144237,1778.959405,380491.331910,1358.285714,373019.857143,-0.000156
0.980130,0.000052,0.000064,0.019753,0.144218,1769.639226,382260.971136,1368.000000,374387.857143,-0.000160
0.980121,0.000051,0.000064,0.019764,0.144198,1760.391985,384021.363121,1372.285714,375760.142857,-0.000164
0.980111,0.000051,0.000064,0.019775,0.144178,1751.216089,385772.579210,1377.714286,377137.857143,-0.000168
0.980101,0.000051,0.000063,0.019785,0.144157,1742.109739,387514.688949,1401.142857,378539.000000,-0.000172
0.980091,0.000051,0.000063,0.019795,0.144135,1733.070624,389247.759572,1423.857143,379962.857143,-0.000176
0.980081,0.000050,0.000063,0.019806,0.144113,1724.097023,390971.856595,1459.428571,381422.285714,-0.000180
0.980071,0.000050,0.000062,0.019816,0.144091,1715.186812,392687.043407,1460.285714,382882.571429,-0.000185
0.980062,0.000050,0.000062,0.019826,0.144068,1706.339294,394393.382701,1471.857143,384354.428571,-0.000189
0.980052,0.000050,0.000062,0.019837,0.144044,1697.552405,396090.935106,1495.428571,385849.857143,-0.000193
0.980042,0.000049,0.000061,0.019847,0.144020,1688.824065,397779.759171,1473.000000,387322.857143,-0.000198
0.980033,0.000049,0.000061,0.019857,0.143995,1680.153875,399459.913046,1453.142857,388776.000000,-0.000202
0.980023,0.000049,0.000061,0.019867,0.143970,1671.539998,401131.453044,1466.857143,390242.857143,-0.000206
0.980014,0.000049,0.000061,0.019877,0.143944,1662.979740,402794.432784,1475.285714,391718.142857,-0.000210
0.980004,0.000048,0.000060,0.019887,0.143918,1654.471535,404448.904319,1458.857143,393177.000000,-0.000215
0.979995,0.000048,0.000060,0.019897,0.143891,1646.014344,406094.918663,1463.714286,394640.714286,-0.000219
0.979986,0.000048,0.000060,0.019907,0.143864,1637.605864,407732.524527,1435.000000,396075.714286,-0.000223
0.979976,0.000048,0.000059,0.019917,0.143837,1629.245282,409361.769809,1428.571429,397504.285714,-0.000227
0.979967,0.000047,0.000059,0.019927,0.143808,1620.930262,410982.700072,1421.142857,398925.428571,-0.000230
0.979958,0.000047,0.000059,0.019936,0.143780,1612.659112,412595.359184,1419.000000,400344.428571,-0.000234
0.979949,0.000047,0.000058,0.019946,0.143751,1604.429973,414199.789157,1421.571429,401766.000000,-0.000238
0.979940,0.000047,0.000058,0.019956,0.143721,1596.240992,415796.030148,1453.857143,403219.857143,-0.000241
0.979931,0.000046,0.000058,0.019965,0.143692,1588.089684,417384.119833,1491.000000,404710.857143,-0.000244
0.979922,0.000046,0.000058,0.019975,0.143661,1579.974235,418964.094067,1533.857143,406244.714286,-0.000247
0.979913,0.000046,0.000057,0.019984,0.143631,1571.892809,420535.986877,1580.142857,407824.857143,-0.000250
0.979904,0.000046,0.000057,0.019994,0.143600,1563.843679,422099.830556,1583.571429,409408.428571,-0.000253
0.979895,0.000045,0.000057,0.020003,0.143569,1555.826231,423655.656786,1606.571429,411015.000000,-0.000255
0.979886,0.000045,0.000056,0.020013,0.143537,1547.838316,425203.495103,1587.285714,412602.285714,-0.000257
0.979877,0.000045,0.000056,0.020022,0.143505,1539.879286,426743.374388,1582.857143,414185.142857,-0.000259
0.979868,0.000045,0.000056,0.020031,0.143474,1531.947075,428275.321463,1569.428571,415754.571429,-0.000260
0.979860,0.000044,0.000055,0.020040,0.143442,1524.040200,429799.361663,1561.857143,417316.428571,-0.000261
0.979851,0.000044,0.000055,0.020050,0.143409,1516.156801,431315.518464,1567.571429,418884.000000,-0.000262
0.979842,0.000044,0.000055,0.020059,0.143377,1508.294829,432823.813293,1598.428571,420482.428571,-0.000262
0.979834,0.000044,0.000055,0.020068,0.143345,1500.452023,434324.265316,1598.857143,422081.285714,-0.000262
0.979825,0.000043,0.000054,0.020077,0.143313,1492.627373,435816.892689,1641.428571,423722.714286,-0.000262
0.979817,0.000043,0.000054,0.020086,0.143281,1484.818192,437301.710881,1676.000000,425398.714286,-0.000261
0.979808,0.000043,0.000054,0.020095,0.143249,1477.022966,438778.733847,1727.857143,427126.571429,-0.000259
0.979800,0.000043,0.000053,0.020104,0.143217,1469.239584,440247.973430,1793.000000,428919.571429,-0.000257
0.979792,0.000043,0.000053,0.020113,0.143186,1461.466044,441709.439474,1866.285714,430785.857143,-0.000255
0.979783,0.000042,0.000053,0.020121,0.143155,1453.700506,443163.139980,1920.285714,432706.142857,-0.000252
0.979775,0.000042,0.000053,0.020130,0.143124,1445.941702,444609.081682,1994.428571,434700.571429,-0.000248
0.979767,0.000042,0.000052,0.020139,0.143094,1438.187488,446047.269170,2067.000000,436767.571429,-0.000243
0.979759,0.000042,0.000052,0.020148,0.143064,1430.436258,447477.705427,2112.142857,438879.714286,-0.000238
0.979750,0.000041,0.000052,0.020156,0.143036,1422.686965,448900.392393,2144.000000,441023.714286,-0.000232
0.979742,0.000041,0.000052,0.020165,0.143007,1414.938200,450315.330593,2184.000000,443207.714286,-0.000225
0.979734,0.000041,0.000051,0.020173,0.142980,1407.188144,451722.518737,2186.571429,445394.285714,-0.000217
0.979726,0.000041,0.000051,0.020182,0.142954,1399.435925,453121.954661,2193.000000,447587.285714,-0.000209
